epoch_time,temp_min,temp_max,prec
-1099472400,2.3,12.5,115.9
-1096794000,7.7,17.3,142.2
-1094202000,12.2,21.3,84.2
-1091523600,17.8,25.8,131.3
-1088931600,20.7,28.3,99.1
-1086253200,21.9,28.2,196.6
-1083574800,18.0,24.3,369.3
-1080982800,13.2,22.1,214.4
-1078304400,6.4,15.6,74.7
-1075712400,1.2,10.8,59.8
-1073034000,-2.8,9.8,32.1
-1070355600,-1.2,6.8,129.0
-1067850000,1.5,11.1,41.4
-1065171600,7.4,16.9,198.9
-1062579600,12.5,20.5,169.1
-1059901200,17.8,25.1,120.4
-1057309200,21.2,28.9,246.3
-1054630800,22.8,30.8,92.5
-1051952400,20.7,28.5,232.0
-1049360400,12.2,20.1,252.8
-1046682000,7.3,15.4,60.1
-1044090000,2.0,11.4,53.0
-1041411600,0.4,9.2,78.1
-1038733200,1.6,10.4,144.9
-1036314000,3.4,13.2,145.7
-1033635600,8.1,17.6,126.5
-1031043600,13.3,22.1,124.5
-1028365200,15.7,23.4,131.4
-1025773200,23.4,29.8,48.6
-1023094800,24.3,32.8,10.8
-1020416400,19.0,26.9,181.6
-1017824400,12.8,20.6,192.2
-1015146000,7.3,15.9,95.4
-1012554000,0.0,11.1,79.3
-1009875600,-2.1,8.2,32.0
-1007197200,-1.1,8.2,65.5
-1004778000,4.7,13.2,92.0
-1002099600,8.0,18.3,96.4
-999507600,14.8,22.7,127.5
-996829200,17.5,24.8,649.0
-994237200,21.8,29.1,255.1
-991558800,23.2,29.7,191.9
-988880400,19.2,26.4,265.2
-986288400,12.8,20.9,351.5
-983610000,6.5,16.4,21.0
-981018000,1.5,10.7,82.5
-978339600,-1.8,7.2,35.1
-975661200,-0.2,9.1,52.7
-973242000,2.7,12.6,98.3
-970563600,7.9,17.3,211.3
-967971600,13.3,20.9,139.1
-965293200,16.9,24.7,235.4
-962701200,23.1,30.7,172.2
-960022800,22.4,29.8,293.5
-957344400,20.4,27.7,266.7
-954752400,14.5,22.1,182.1
-952074000,8.2,16.9,53.8
