time,temp,prec
632822400,5.2,0.0
632826000,4.7,0.0
632829600,4.5,0.0
632833200,4.0,0.0
632836800,3.6,0.0
632840400,3.3,0.0
632844000,3.0,0.0
632847600,2.4,0.0
632851200,1.8,0.0
632854800,1.3,0.0
632858400,1.2,0.0
632862000,1.1,0.0
632865600,1.0,0.0
632869200,1.0,0.0
632872800,0.7,0.0
632876400,0.7,0.0
632880000,0.8,0.0
632883600,2.2,0.0
632887200,3.1,0.0
632890800,3.8,0.0
632894400,6.2,0.0
632898000,5.8,0.0
632901600,6.1,0.0
632905200,6.5,0.0
632908800,5.7,0.0
632912400,5.0,0.0
632916000,3.9,0.0
632919600,5.5,0.0
632923200,4.7,0.0
632926800,4.3,0.0
632930400,2.5,0.0
632934000,2.8,0.0
632937600,2.7,0.0
632941200,2.4,0.0
632944800,2.0,0.0
632948400,0.4,0.0
632952000,1.4,0.0
632955600,0.9,0.0
632959200,0.3,0.0
632962800,1.5,0.0
632966400,3.2,0.0
632970000,4.7,0.0
632973600,5.7,0.0
632977200,8.0,0.0
632980800,8.1,0.0
632984400,8.6,0.0
632988000,8.8,0.0
632991600,9.1,0.0
632995200,10.0,0.0
632998800,9.2,0.0
633002400,8.7,0.0
633006000,8.4,0.0
633009600,8.4,0.0
633013200,8.1,0.0
633016800,6.5,0.0
633020400,5.4,0.0
633024000,6.4,0.0
633027600,6.6,0.0
633031200,6.3,0.0
633034800,5.3,0.0
633038400,4.8,0.0
633042000,3.9,0.0
633045600,3.8,0.0
633049200,3.2,0.0
633052800,3.4,0.0
633056400,3.8,0.0
633060000,4.2,0.0
633063600,4.3,0.0
633067200,3.9,0.0
633070800,3.5,0.0
633074400,2.1,0.0
633078000,2.2,0.0
633081600,1.5,0.0
633085200,1.4,0.0
633088800,1.2,0.0
633092400,1.3,0.0
633096000,1.2,0.0
633099600,1.0,0.0
633103200,1.2,0.0
633106800,1.1,0.0
633110400,0.8,0.0
633114000,0.7,0.0
633117600,0.8,0.0
633121200,0.3,0.0
633124800,0.6,0.0
633128400,0.3,0.0
633132000,0.4,0.0
633135600,0.9,0.0
633139200,1.3,0.0
633142800,3.2,0.0
633146400,4.6,0.0
633150000,6.6,0.0
633153600,7.8,0.0
633157200,7.8,0.0
633160800,7.7,0.0
633164400,7.2,0.0
633168000,6.5,0.0
633171600,6.5,0.0
633175200,5.0,0.0
633178800,4.2,0.0
633182400,3.4,0.0
633186000,2.9,0.0
633189600,3.0,0.0
633193200,2.9,0.0
633196800,2.4,0.0
633200400,2.2,0.0
633204000,1.7,0.0
633207600,1.2,0.0
633211200,0.8,0.0
633214800,0.5,0.0
633218400,0.3,0.0
633222000,1.0,0.0
633225600,1.7,0.0
633229200,2.7,0.0
633232800,3.7,0.0
633236400,5.0,0.0
633240000,4.8,0.0
633243600,5.5,0.0
633247200,5.9,0.0
633250800,6.0,0.0
633254400,5.8,0.0
633258000,5.2,0.0
633261600,3.3,0.0
633265200,2.6,0.0
633268800,2.1,0.0
633272400,1.8,0.0
633276000,1.4,0.0
